feature,importance_mean,importance_std,group
elo_gap,0.0035919203201929817,0.00043909292221069873,elo_gap
player_rating_long_term,0.0019514764527480133,0.00017425214648247866,player_rating_long_term
player_acs_long_term,0.0010157597323258855,0.00040248573422431433,player_acs_long_term
player_matches_played,0.0008439409852028096,2.2050976753243412e-05,player_matches_played
team_pick,0.0007668920636177412,0.00025097491343817335,team
agent,0.0005874002158642311,0.0006724673807620984,agent
opponent_elo,0.00034553410212199986,0.0013970240672429163,opponent_elo
player_kda_last_3,0.00017469247182208547,5.204230546951294e-05,player_kda_last_3
team,0.00016837085286774967,2.1710445483519303e-05,team
match_month,0.00016180932521819846,4.157165686288766e-05,match_month
opponent_team,0.00015992668271067045,1.4126346508658294e-05,opponent_team
opponent_rating_last_10,0.0001537254452705361,0.0003047921260198039,opponent_rating_last_10
player_agent_acs_last_5,0.0001298699994882191,8.417629202209231e-05,player_agent_acs_last_5
player_acs_ewm_10,0.00012276657819751402,7.132089932759822e-05,player_acs_ewm_10
match_dayofweek,6.30392630894816e-05,7.785300413767904e-05,match_dayofweek
player_form_trend,4.91993268331159e-05,1.9098917643234348e-05,player_form_trend
player_rating_last_3,4.761626323063206e-05,3.4106274445860896e-05,player_rating_last_3
player_acs_last_5,4.6843339999519396e-05,3.8988043864568445e-05,player_acs_last_5
player_kda_form_gap,4.332174857457627e-05,1.0451972484587513e-05,player_kda_form_gap
player_matches_last_7d,2.2466935714102187e-05,1.003249684967955e-05,player_matches_last_7d
player_acs_form_gap,1.4903726180404142e-05,3.229096531867648e-05,player_acs_form_gap
player_cold_start,1.0853409767141997e-05,3.657440344501106e-06,player_cold_start
player_agent_rating_last_5,1.0532488425571418e-05,2.0774851242702508e-05,player_agent_rating_last_5
player_map_acs_last_5,9.404768546425468e-06,3.93485029538676e-06,player_map_acs_last_5
player_matches_last_14d,5.758484204893e-07,2.480722268426161e-05,player_matches_last_14d
player_agent_kda_last_5,4.80314095815948e-07,4.80314095815948e-07,player_agent_kda_last_5
event_round,0.0,0.0,event_round
player_map_kda_last_5,0.0,0.0,player_map_kda_last_5
match_year,0.0,0.0,match_year
event_stage,0.0,0.0,event_stage
player_rating_form_gap,-3.8657188412838384e-07,5.4757595062251974e-05,player_rating_form_gap
player_acs_last_3,-1.9861261049969325e-06,5.145569642373005e-06,player_acs_last_3
player_acs_last_10,-2.8654932975880065e-06,0.00010308245817819417,player_acs_last_10
player_acs_ewm_5,-4.296551148100236e-06,2.132758498192555e-05,player_acs_ewm_5
player_kda_ewm_10,-1.0221501191454152e-05,1.0221501191454152e-05,player_kda_ewm_10
player_matches_last_30d,-1.9936909278234216e-05,5.679825941795613e-07,player_matches_last_30d
player_map_rating_last,-2.1578421195350694e-05,3.878722588224193e-06,player_map_rating_last
player_rating_last_10,-2.203696370124686e-05,7.253919045116519e-06,player_rating_last_10
region,-2.4230281511938845e-05,0.0,region
player_rating_last_5,-2.527674039205785e-05,2.461175123850967e-05,player_rating_last_5
player_kda_last_5,-2.537136276564711e-05,3.4889082113909176e-06,player_kda_last_5
map,-2.60423123836645e-05,9.717101852098342e-05,map
player_kda_ewm_5,-3.8178314765296983e-05,2.916360894839043e-05,player_kda_ewm_5
player_map_rating_last_3,-4.1857330004363424e-05,3.471235434213127e-05,player_map_rating_last_3
player_rating_std,-4.440322518348139e-05,1.654520630836598e-05,player_rating_std
player_rating_ewm_5,-5.07472296555761e-05,5.290067791939579e-05,player_rating_ewm_5
player_kda_last_10,-6.633025407790094e-05,4.2749444643663814e-06,player_kda_last_10
player_rating_ewm_10,-7.623166640596812e-05,0.000286273435751605,player_rating_ewm_10
team_elo,-8.073047002155054e-05,0.0004259813348452546,team
player_map_matches_played,-9.475946426391879e-05,6.447066863378426e-05,player_map_matches_played
player_kda_long_term,-0.00011979697545369539,4.6501870950066415e-05,player_kda_long_term
player_acs_ewm_3,-0.00012770199179648611,4.410976171487224e-06,player_acs_ewm_3
team_rating_last_10,-0.00013258303205174182,0.00015502964456876045,team
team_rating_last_5,-0.00013574774066607564,2.581949035326825e-05,team
player_agent_matches_played,-0.00014728050827976513,0.00015052640636760428,player_agent_matches_played
player_rating_ewm_3,-0.00016881064375239008,0.0004911612610022237,player_rating_ewm_3
player_rating_last,-0.0002014383534590103,0.0002250369727611612,player_rating_last
player_kda_ewm_3,-0.0004170560359954417,0.0005370671510696451,player_kda_ewm_3
player_rest_days,-0.00043098140358921455,0.00018779387275377757,player_rest_days
opponent_rating_last_5,-0.0007313016553719964,0.00053815796971321,opponent_rating_last_5
