feature,importance_mean,importance_std,group
elo_gap,0.008151461669625826,0.0019478181306372133,elo_gap
team_pick,0.001206403067502998,0.00015109865312221138,team
agent,0.0010562343887635661,0.00047621327230346067,agent
player_rating_long_term,0.0010036687158325452,0.00019233830629009074,player_rating_long_term
team_elo,0.00048249207911113534,0.000990379838125749,team
player_kda_long_term,0.0004417242484839601,0.0005171841883342687,player_kda_long_term
player_matches_played,0.0003755056130403389,0.0005463267612920708,player_matches_played
player_agent_kda_last_5,0.000299740834888762,0.0002962372449291095,player_agent_kda_last_5
player_rating_last_10,8.947538004977496e-05,9.428785906895332e-05,player_rating_last_10
player_kda_last_10,6.225852120633757e-05,0.00016671552872049578,player_kda_last_10
player_map_matches_played,5.590316826564745e-05,0.0001044222109677917,player_map_matches_played
match_dayofweek,3.418296575546931e-05,1.8857816855122334e-05,match_dayofweek
player_matches_last_30d,9.383757909042778e-07,1.1766552925118745e-05,player_matches_last_30d
player_acs_ewm_3,0.0,0.0,player_acs_ewm_3
player_acs_ewm_5,0.0,0.0,player_acs_ewm_5
player_rating_std,0.0,0.0,player_rating_std
player_rating_form_gap,0.0,0.0,player_rating_form_gap
opponent_team,0.0,0.0,opponent_team
player_cold_start,0.0,0.0,player_cold_start
player_agent_matches_played,0.0,0.0,player_agent_matches_played
player_acs_form_gap,0.0,0.0,player_acs_form_gap
player_rating_ewm_3,0.0,0.0,player_rating_ewm_3
player_acs_last_10,0.0,0.0,player_acs_last_10
player_acs_last_3,0.0,0.0,player_acs_last_3
player_rating_ewm_10,0.0,0.0,player_rating_ewm_10
player_kda_last_5,0.0,0.0,player_kda_last_5
player_rating_last_5,0.0,0.0,player_rating_last_5
player_rating_last_3,0.0,0.0,player_rating_last_3
event_round,0.0,0.0,event_round
event_stage,0.0,0.0,event_stage
team,0.0,0.0,team
player_matches_last_14d,0.0,0.0,player_matches_last_14d
player_map_rating_last_3,0.0,0.0,player_map_rating_last_3
player_map_acs_last_5,0.0,0.0,player_map_acs_last_5
player_agent_rating_last_5,0.0,0.0,player_agent_rating_last_5
player_agent_acs_last_5,0.0,0.0,player_agent_acs_last_5
match_year,0.0,0.0,match_year
player_acs_ewm_10,-1.8743673960430751e-06,1.4479557673113819e-05,player_acs_ewm_10
player_rating_ewm_5,-2.6732683181818206e-06,2.6732683181818206e-06,player_rating_ewm_5
player_acs_last_5,-7.798274358122859e-06,9.781519571955277e-06,player_acs_last_5
map,-7.910264862937e-06,5.962524149152881e-05,map
player_acs_long_term,-2.027392387390914e-05,3.3597548802694055e-05,player_acs_long_term
player_map_rating_last,-2.2309223810829115e-05,1.557350158690185e-05,player_map_rating_last
player_kda_form_gap,-3.149943692346002e-05,2.2655753862260708e-05,player_kda_form_gap
player_kda_last_3,-3.279606501260801e-05,7.220904032378961e-06,player_kda_last_3
match_month,-6.83277845382746e-05,8.681217829403787e-06,match_month
team_rating_last_10,-9.28203264872196e-05,0.00010202964146932558,team
player_map_kda_last_5,-9.875744581222534e-05,1.8605093161261355e-05,player_map_kda_last_5
region,-0.0001017769177754646,0.0,region
team_rating_last_5,-0.00011915942033133287,4.393597443899666e-05,team
player_kda_ewm_5,-0.00012024303277335946,0.00019617617130279763,player_kda_ewm_5
player_form_trend,-0.00012194156646727627,8.323887983957556e-05,player_form_trend
player_kda_ewm_10,-0.0001805732615813016,0.0004456009537565919,player_kda_ewm_10
player_matches_last_7d,-0.00018170054441968286,6.80326324662417e-05,player_matches_last_7d
opponent_rating_last_10,-0.00028415131025646967,0.0003302305240077408,opponent_rating_last_10
player_rest_days,-0.0003212152639700261,0.0003856842007811945,player_rest_days
player_kda_ewm_3,-0.0003826757270315173,0.0021056918175482997,player_kda_ewm_3
player_rating_last,-0.0003908751549603906,0.0002250841111119395,player_rating_last
opponent_rating_last_5,-0.0011140999858050282,7.235428003166122e-05,opponent_rating_last_5
opponent_elo,-0.0030477007110340237,0.002294447516783732,opponent_elo
